a, an	wį, wįxce
cannot	ðąącháži, ðuucˀáke
cannot understand	kíopxaži
cantaloupe	įįštáxį sáhku
cape	ákahamį
car	oðíhtą
car, by car	éwažį ną́ąke
car door	oðíhtą heižé
card: greeting or gift ~.	íe ðáalį žį
card: lead or play a ~ (in a card game)	ðée káaɣe
card game.	htaną́kˀa kˀǫ́
cardinal (bird)	wažį́žue
cards	htaną́kˀa kˀǫ́
cards: play ~	htaną́kˀa kˀǫ́
cards: playing ~ (noun)	htaną́kˀa, htaną́kˀa ðiihíce
care: have a ~ with regard to something or someone	íinǫǫhpe
care: take ~ of	átǫpe, ðakˀéðe, okášą, okáše, wanáše
car: take ~ of a meal oneself when asked to do so	óohkihą
care: take ~ of a task or an event	oðówaðe
care: take ~ of oneself	óhkihkaše
care for kids (babysit)	žįkókašą
care for oneself	ohkíežą
care for the sick	húheka okášą
careful: be ~ with	íinǫǫhpe
careful: not ~	íinǫǫhpaži
caress	íišeįka
caress one's own	íikišeįka
carousel	kǫ́kǫe
carpet	omíže
carrot	tóoleži
carry	aðį́aðee, į́, kˀį́, kˀį́ahi
carry on in a certain way	ahkílaðį́
carry on the back	kˀį́
carry one's items, carry along one's items	aláoį́
carry one's own	aláðį́
carry oneself	ahkílaðį́
carry piggyback	ðuškápa
Carrying-and-Wailing (personal name)	wáį́ɣaaké
carrying the charcoal (mourning dance)	wašápe aðį́
cash payment	wahkílae wakásupe
cast a spell on someone	kilǫ́že
castor oil	wéli mąhką́
cat	ilǫ́eži
catch	oðį́įke
catch on something	íhkowa
categorize	hpahíke
caterpillar	wáxta
catfish	htóze
Catholic (noun, adjective)	šǫmį́hka
cattle: head of ~	heéeska
caught on something: get ~	íhkowa
causative markers	ðe, hkiðe, káaɣe, kíðe, kšíðe, kšíɣe
cause oneself ill or harm	hkilúhpiiži
cause oneself to be or do	hkíðe
cause something to be a certain way	káaɣe
cause to be for someone	íkikaaɣe
cause to be or get lost	oxpáðe káaɣe, oxpáðeðe
cause to fly out in pieces or splinter	paaśike
cause to go	ðéeðe
cause to smell, as in making cedar smoke for a cleansing or blessing	oðíbrą
cedar	xǫ́ǫce
cedar tea	xǫǫcénii
cease (transitive)	kaaštą́, kaakǫ́ną, káaɣe
cellar	mą́įhkaši
cemetery	óxe mą́žą
censure (verb)	kaazą́
cent	waðáawažį́
center	ohką́ska
center: at the or in the ~	mąché, ohką́ska
center: toward the ~	mąchéhtaha
cents: five	waðáawa sáhtą
cereal	kaasį́exci ónǫbre
ceremonial dances of the Osages	ilǫ́ǫška
certain way; live or be a ~	ðį́, mąðį́
certainty of a future event	ðée hta ché
chair	áalįį, álįį
chaise longue	álįįscee
challenging	wahcéxi
change (transitive)	ðúeži
change: make or make a ~	íhkihkaį káaɣe
change (as the weather)	šką́
change (money, coins)	íhkihkawį, ošpéžį, waðáawažį
change one's mind	waðílą kikáaɣe
change one's ways	hkilíisą
change (intransitive)	íhkihkawį káaɣe
changeable	éžixci
characteristics: personal ~	ókˀą
charcoal accompanying them (ceremonial title)	wašápe aðį́ wažówale
charge: be in ~ of	oðóðe
charge: in ~	oðówaðe, óohkihą
charge: take ~ of	ókašą
charred meat	táasaaki
chart of land.	mąžą́waleze
chase (verb)	ðuxí, olé
chase away	olé
chastise	kaazą́
chauffeur	waðíhtą wakáaži, wakáaži
cheap	ómąhka
check a horse's forward movement	oðíitą
cheerful	ókˀą ðaalį
cheese	paazénii saakí, paazénii wéli saakí
cherish each other	óxtahkiðe
cherish one's own	kíoxta
cherished	óxta
Cherokee (tribe or tribal member)	šaáke, šálaki
chest (box)	žą́ąhkoke
chest (of the body)	mą́ąke
chew	ðaaškíke
chicken	súhka
chewing gum	mį́įhtǫeli
Cheyenne (tribe or tribal members)	htáaceomą́i
chicken: banty (bantam) ~	súhka saaki
chicken: prairie ~	mǫ́nǫį
chief	kahíke
chief: be ~ (over a people)	kíhike
chief-to-chief (succession of hereditary chiefs within a family)	opxą́pxą́
child, children	žįká, žįkážį
childbirth	wéetaðe
childcare	žįkókašą
childhood	žįkážį
childless	wéetaðaži
children: take care of ~	žįkókašą
children in their teens	hcéka nǫ́ǫ
chin	ðéepa
chip (noun)	ošpéžį
choke from	íkaske
choke with the hands	tóoce oðį́įke
choker (necklace)	wanǫ́pˀį
choose	ðuuzé, hkíhpaahi
choose people (or things?)	wapáahi
chop (verb)	ðilǫ́že
chop by striking with	íkaase
chop down, chop up (e.h., with and axe or a knife)	kaasé
chop with a blade (e.g., wood for a fire)	kaasé
chore	ówǫ
chorus (female)	oðáazo
Christmas	wahkǫ́ta ižį́ke íikitaðe, xǫǫcéhu káaɣe hǫ́ǫpa
chubby	lą́ąðehtą
church	waatáihci, wahkǫ́tahci, wíkiehci
church: little ~	wíkihcižį
church bell	íikaahtamą
church house: Native American ~	hcipóɣa
cigarette	nąnį́ǫpažį
cigarette: roll a ~	nąnį́ǫpa káaɣe
circle around	ákiɣe
circular	táahpa
circulate	ápše
circus	ówatoį
clan	htą́wąla, inihkašie
clan subdivision (of Deer clan)	nǫ́pxata
clap (e.g., the hands)	nąsą́sąwa
clarify	wáðaaska
class	íkˀuce, walézeáace
class: what ~ of	táatą
classify	hpahíke
clatter (verb)	htáhtaze
claw	šáake
clay	mą́įhka
clean (verb)	ðuuwásu
clean, cleanly	wasúhu
clean (e.g., the house)	ðicíze
clean off	púɣa
clean off by wiping	púkxa
clean oneself	hkilúuwasu
clean talk	íe wasúhu
clean up	ðuuwásu
cleanse	ðuuwásu
cleanse or be clean by heat or cold	taasúhu
clear (adjective)	ská, skáha, stá, wasúhu
clear: make ~	wáðaaska
clear (as the weather)	ðáalį
clear language	íeska
clear sky (as after a storm)	hkéðo
clear speaking	íe wasúhu
clear words	íe waská, íeska
clearance (space)	ohtą́ną
cleared off area	oštá
clearly	skáha, ská, wáðohtą, wasúhu
clearly: speak ~	íe ðáawaska, íeska wáðaaska
clear-minded	ną́ąɣeska
clicking noise against metal (as made by a typewriter)	mą́ze htáhtaze
clicking sound	htáahtaze
cliffs: dwelling on the ~	hpasú olį́į
climb, climb onto (by using the arms)	áace
climbing (by wrapping around?)	átxą
clock	mį́įoðaake
close (verb)	kaasį́ce
close (e.g., one's eyes)	ápisą
close (near), closeby	áška
close by grasping	áðiihtą
close by pulling	áðiitą
close by zipping, tying, fastening, or buttoning	oðíiną
close on	ákaasįce
close one's eyes	ðupˀį́ce
close suddenly or by striking	kaasį́ce
closing of a prayer	kaašéną
cloth	háa, haaská
clothe oneself with	íwehkilį
clothes	haaská, ohkúlą, wéhkilį
clothes: Osage ~	wažáže wéhkilį
clothes: put on ~(one's own)	wéhkilį okíhpaahą
clothes: put ~ on oneself	óhkioolą́
clothes: take ~ off (another person or oneself)	ðuušáwa
clothes: wash ~	wasíiški
clothes: wash ~ for oneself	hkilíiški
clothing	haaská
clothing: any item of ~	wéhkilį
clothing: relieve s.o	of ~ ðuuštáke
cloud, cloudy	mą́xpu
clown	waðíhohota, wahóhota
clubs (suit in a deck of cards)	cˀáaži
coat	ákahamį, mǫkápo, wéhkilį
coax someone to say or do s.t	ožížie
cobbler	hǫ́ǫpekaaɣe
cock: turkey ~	áahu mą́ðį
cockleburs	waxáka
coffee	mąhkása
coffer	žą́ąhkoke
coffin	óxe sápe
coin	mą́zeska
coins	ḿą́zeska zí, ošpéžį, waðáawaži
cold	níni
cold: be or fell ~	níhce
cold: have a ~	hóxpe ǫ́ǫ
cold (used of weather)	níwahce
cold with sniffles and fever (noun)	hóxpe
collect together (many small scattered things)	paahí
colon	šúpe
color bright colors	hį́į
Comanche (tribe or tribal member)	hpá tóohka, wátoohka
comb (noun)	hpahúze, wékaapše
comb one's hair	káapše
comb s.o	's hair kípše
come back	alí
come back here (motion underway)	akú
come back with s.t	that belongs to oneself aláðįku
come by (i.e	, pass) ípše
come by (i.e	, stop in) ahí
come here: cause to ~	húðe
come here (motion accomplished)	achí
come here (motion underway)	ahú
come here with	akú
come home (motion underway)	akú
come into possesion of	okšehtą
come there (motion accomplished)	ahí
come to (after being unconscious)come to one's senses	hkilázo, iihkíðe
comfort	kiɣúhke
comfortable	hkikˀąze
comfortable: make oneself ~	hkikˀą́ze
comforting	štáke
comical	wahóhota, wahóta
comical person	wahóhota
command someone to do something	ákaaži, kaaží
commit suicide	cˀéhkiðe
committeeman	totą́ha
compete with one another	áhkihkie
complementizer	che
complete	bróka
completive markers (see noncontinuative markers)	
compress	kaaskí
conceal, conceal oneself	nąlǫ́ǫha, púuspe
conceited: be ~	óžo áhkižį
concenr: feel ~ over, be ~ed about	óðąąceši
conduct one's own or someone else's affairs	oðówaðe
conduct oneself	ahkílaðį
conference held by a group of people	hkiistó
confused: be ~	ážąį ðuucˀáke
confused, confused person	pxáðaži
congested	ocˀį́ze
congressional representative	hkiistó omąðį
congressman, congresswoman	wahkílaace káaɣe
conquer	ohí
consciousness: regain ~	iihkíðe
consecrated	xópe
consecutively	ohkíetxątxą
consider	áwaðilą, éðe, ékiðe, íðilą, waðílą
consider precious	óxta káaɣe
consider something	táatą íðilą
consommé	htaaníi
constantly	štą
consume	ðaanį́į
consumption (tuberculosis)	mą́ąke ní, mą́ąke púze
contact: bring components into ~(e.g., parts of a blanket)	ðiiskíke
container	oožú, óožu
contaminate (e.g., water on air)	ízizike káaɣe
contempt: hold someone in ~	hpíiži ažį́
contemptible	iiséwaðe
contend with one another	áhkihkie
content (happy)	škaškáða
contest (verb)	áhkihkie
continally	háachi, ną, nąną šǫ, štą
continuative aspect markers	akxa, apa, ąðé, ąðįhé, ąðįkšé, ąhé, ąkáðe, ąkatxą́, ątxą́, ątxąhé, ðaįšé, ðatxą́še, įkšé, kše, mįkšé, nąkxáše, nįkšé, paašé, pai, txą, žą́kše
continue	šką́
continue, continue to	šiną, šǫ
continuously	štą
contrarily	óðąži
contrary: go or be ~ to	áðihta
converse, converse with	ohkíe
converse with each other	ohkíhkie
convince	ožížie
cook (noun, verb)	oohǫ́
cook, cook outside (refers only to cooking meat on a rack, as for barbecue)	óhkace
cook for oneself	óohkihą
cook things, cook stuff	óohǫ
cook together	oðóhkihą
cooked	cúuce
cookhouse	oohǫ́hci
cookie	waskúežį
cooking: add in ~	oðóhkihą
cooking pot	óohǫ
cooking utensils	wéoohǫ, wióohǫ
cookstove	mą́zewéoohǫ
cool (as weather), cool to the touch	níni
coon (raccoon)	mį́hkaa
copperhead	aį́paxo
copulate	wachú
copulate with	aðį́ažą, chúe
cord	wéðį
cork, fishing cork	wíoðaaspe
corn	hápa
corn: cracked ~	hápa waléke
corn: cut ~ (fresh corn cut off the cob)	paašpú
corn: dried ~	óohǫ saakí, watxázu
corn: fresh ~	hápa, hápa wacˀéka
corn: fresh ~ cut off the cob	paašpú
corn: grated fresh ~ baked in oven	wacúe žéela
corn: ripe ~ (just at the point of ripeness)	hápa wasúta
corn: squaw ~ (white term)	hápa wacˀéka
corn husk	wacúexą
cornbread	hápa wacúe, wacúe žéela, wacúeštǫ
corner	paaɣó
cornmeal dumplings	wacúe kaaskí
cornshuck	wacúexą
correct, correctly	ékǫ
correctly: say something ~	ékǫ ðaacé
cosmetics	kikˀǫ́
costume	wéhkilį
cot: small ~	ážąžį
cottonwood	páakˀa, žą́ą kˀa
couch	álįįscee, ážą, óžą
cough (N and V)	hóxpe
cough: have or be suffering from a ~	hóxpe ǫ́ǫ
could	ðąąché
council	ohkíhpa che
council house	hkiistóhci, kiistohcí
council meeting	hkiistó
council member	hkiistó omąðį
council session: tribal ~	hkiistó
count (verb)	ðaawá, waðáawa
count on	íkinaaži
count oneself	hkiláawa
count out	ðaawá
counting	waðáawa
country (land)	mą́žą
country (nation?)	níhkašika ochí
country (rural area)	zą́ą, zą́ące
countryside	mážą, mąžą́htą, zą́ą, zą́ące
couple, pair, two of them	nahkǫį́
courageous	wašóše
court (woo)	ðílą
courthouse	hkiistóhci
courtship: be in a ~ with	žóle
cousin: male ~ (specifically, father's sister's son)	
" my/your/his/her father's sister's son"	hcióška
"my father's sister's son"	wihcóška
"his/her father's sister's son"	ihcóška
cousin: female ~(specifically, father's sister's daughter)	
"my father's sister's daughter"	wihcížo
"your father's sister's daughter"	ðihcížo
"his father's sister's daughter"	ihcížo
cover: pull or tug something over in order to ~	áðuzu
cover (for a tipi, sweat lodge, pillow, etc.)	oðíši
cover oneself up	áhkihkaaspe
cover over, cover up	ákaaspe
cover over by spreading some material upon	ákaaɣace
cover with earth	áðikˀo
covered with: be ~(as a garment)	į́
covering (e.g., a windowshade)	akáaspe
covering wrapped around something	ápetxa
covert, covertly	nąlǫ́ǫha
cow	hcéeska, hceeská mį́įka
coyote	šǫ́mįhkase
crack (intransitive)	kaaléke
crack from sudden impact	kaaxúɣe
crackers.	wacúe xúɣa
cradle of any type, cradleboard.	oðópše
crafts: small ~.	hįįcéžį
cranky.	ókˀą hpíiži, waðílą áška
cranky: feel ~.	hkížį
crash (verb).	kaapxóhke
crave.	kǫ́ða
crawl on, crawl upon.	ámįce
crazed with medicine.	mą́hkažóika
crazy.	cˀéka
crazy, crazily.	ekǫ́įke
crazy person.	waðílą eekǫ́ įké
cream.	paazénii wéli
cream (for applying to a surface to make it smooth).	stáðe
creek.	káxa
creek: small ~.	káxa žį
Creek Indians.	muskóke
crescent moon.	mį́įǫpa aðikeže
crestfallen.	kízoži
cricket.	htáhtaze
crier.	íekie, wacípxaį
Crippled Hawk (personal name).	žekáxǫ letǫ́
crockery.	hį́įce
crone.	wakˀóžį
crooked.	cˀįša, paacˀį́
crooked (referring to a human body).	cˀį́xa
crop: wheat ~.	wapóške ówe
cross (adjective).	ókˀą hpíiži
cross (noun).	cˀáaži
cross (verb).	áðuuhta ðée
crow (noun).	hkáɣe
crowd: help to make a bit of a ~.	wéhuužį
crowd: make a ~.	wéhuu, wéhuukǫį
crowd someone	ohkáðįke
crucifix.	cˀáaží
crumbly: bread that is ~ (i.e., crackers).	wacúe xúɣa
crutch.	íisa
cry (intransitive).	ɣaaké
cry for.	áɣaake
cub (of any species of bear).	wasápežį
cucumber.	hkohkóma
culmination of.	ó-
cunning.	nąlǫ́ǫha
cup.	hcéheska, hcéhežį, mąhkásaioožú,oožú
curb motion.	oðíitą
curl (as a person/s hair).	ðuuhkíhkį
curly.	hkíhkįnį
currency (paper).	htaną́kˀa mą́zeska
curry the mane or coat of an animal.	káapše, kípše, wákaapše
curse (noun).	íe hpíiži
curse (verb).	lǫ́ǫ
curse over and over.	lǫ́ǫlǫǫ
curse someone	hkiláažoži, kilǫ́že
curses.	íe okaaɣéįke
curve (noun).	koša
curved.	cˀįša
curved stick used to play kasini (shinny).	ohkíce
cushion to sit on (as for a sofa, chair, or other seat).	wákaštǫ
custom.	ókˀą
customarily.	ną
cut (adjective).	žáhta
cut (nounoun).	wápaase
cut (verb).	kaasé, paasé, -se, wápaase
cut: one who ~s things up.	wapáse
cut (e.g., with an axe, lawnmower, or knife).	kaasé
cut (e.g., with scissors).	ðuusé
cut a hole in by pushing.	opákˀo
cut into pieces (e.g., a cake).	paasé
cut meat (e.g., slice meat for barbecue).	wakái
cut off.	paasé
cut something for someone	kíse
cut something with something else by pushing down on the item being cut.	ípaase
cut the grass.	mąąhį́ paasé
cut up (e.g., meat, potatoes).	paasé
cut up into slices (e.g., bananas, sausage, watermelon).	pascé
cut with.	íkaase
cut with a sharp edge.	páse
cutthroat.	hpápaxǫ
cutting, cut (nounoun).	wápaase
cutting: by ~.	pá-
cyclone.	htaacé óhesaži
daily.	hą́ąpa záani
damage one's reputation or standing by doing something inappropriate.	ílaną
damaging.	wéhpiiži
damp.	toohká
dance (nounoun, verb).	waachí
dance: he duska ~ (name of a Ponca dance).	hé ðúška
dance: mourning ~.	wašápe aðį
dance: night ~.	hpáze waachí
dance: soldier ~.	áhkitaną́ąžį waachí
dance: solo ~ by one who has been in a war.	wašóše achí nąąžį
dance arbor.	áhcihtą
dance for.	áwaachi
dance place or location.	ówaachi
dances: ~ (war dances or ceremonial dances of the Osages).	ilǫ́ǫška
dancing songs: sing ~, singers of dancing songs.	xóhka
dare not: I ~.	ą́žǫ ðįké
dark.	hą́įnį
dark: become or get ~.	hą́ąnahpazé
dark (in color).	šápe
dark night.	hą́ąnahpazé
darken.	hą́ąnahpazé
darkened.	šápe
darkness.	hą́įnį
darkness of night.	hą́ąnahpazé
date (be in a courtship with).	žóle
dative prefix.	ki-
daughter: babe ~.	asíhpa
daughter: first (eldest) ~.	míina, wakˀóhpa, wakˀóhtą
daughter: fourth ~ (or subsequent daughter).	asížį
daughter: second ~.	wihé
daughter: third ~.	asį́ka
daughter (without reference to age)	
my daughter	wižǫ́ke
your daughter	ðižǫ́ke
his/her daughter	ižǫ́ke
daughter-in-law	
my daughter-in-law	wihcíni
your daughter-in-law	ðihcíni
